name	contamination	completeness	category	Quality	
bin_0	0	0.0	Bad bin	0
bin_1	0	0.0	Bad bin	0
bin_2	0	0.0	Bad bin	0
bin_3	0	0.0	Bad bin	0
bin_4	0	0.0	Bad bin	0
bin_5	0	0.0	Bad bin	0
bin_6	0	0.0	Bad bin	0
bin_7	0.0	100.0	near	1.0
bin_8	0	0.0	Bad bin	0
bin_9	0.0	11.538461538461538	Bad bin	1.0
bin_10	0	0.0	Bad bin	0
bin_11	0	0.0	Bad bin	0
bin_12	0.0	55.769230769230774	Bad bin	1.0
bin_13	0	0.0	Bad bin	0
bin_14	0	0.0	Bad bin	0
bin_15	0	0.0	Bad bin	0
bin_16	0	0.0	Bad bin	0
bin_17	0	0.0	Bad bin	0
bin_18	0	0.0	Bad bin	0
bin_19	0	0.0	Bad bin	0
bin_20	0	0.0	Bad bin	0
bin_21	0	0.0	Bad bin	0
bin_22	0	0.0	Bad bin	0
bin_23	0	0.0	Bad bin	0
bin_24	0	0.0	Bad bin	0
bin_25	0	0.0	Bad bin	0
bin_26	0	0.0	Bad bin	0
bin_27	0	0.0	Bad bin	0
bin_28	0	0.0	Bad bin	0
bin_29	0	0.0	Bad bin	0
bin_30	0	0.0	Bad bin	0
bin_31	0	0.0	Bad bin	0
bin_32	0	0.0	Bad bin	0
bin_33	0	0.0	Bad bin	0
bin_34	0	0.0	Bad bin	0
bin_35	0	0.0	Bad bin	0
bin_36	0	0.0	Bad bin	0
bin_37	0	0.0	Bad bin	0
bin_38	0	0.0	Bad bin	0
bin_39	0	0.0	Bad bin	0
bin_40	0	0.0	Bad bin	0
bin_41	0	0.0	Bad bin	0
bin_42	0	0.0	Bad bin	0
bin_43	0.0	99.03846153846155	near	1.0
bin_44	0	0.0	Bad bin	0
bin_45	0	0.0	Bad bin	0
bin_46	0	0.0	Bad bin	0
bin_47	0	0.0	Bad bin	0
bin_48	0	0.0	Bad bin	0
bin_49	0	0.0	Bad bin	0
bin_50	0.0	100.0	near	1.0
bin_51	0	0.0	Bad bin	0
bin_52	0	0.0	Bad bin	0
bin_53	0.0	95.1923076923077	near	1.0
bin_54	0	0.0	Bad bin	0
bin_55	0	0.0	Bad bin	0
bin_56	0	0.0	Bad bin	0
bin_57	0	0.0	Bad bin	0
bin_58	0	0.0	Bad bin	0
bin_59	0	0.0	Bad bin	0
bin_60	0	0.0	Bad bin	0
bin_61	0	0.0	Bad bin	0
bin_62	0	0.0	Bad bin	0
bin_63	0	0.0	Bad bin	0
bin_64	0	0.0	Bad bin	0
bin_65	0	0.0	Bad bin	0
bin_66	0	0.0	Bad bin	0
bin_67	0	0.0	Bad bin	0
bin_68	0	0.0	Bad bin	0
bin_69	0	0.0	Bad bin	0
bin_70	0	0.0	Bad bin	0
bin_71	0.0	99.03846153846155	near	1.0
bin_72	0	0.0	Bad bin	0
bin_73	0	0.0	Bad bin	0
bin_74	0	0.0	Bad bin	0
bin_75	0	0.0	Bad bin	0
bin_76	0	0.0	Bad bin	0
bin_77	0	0.0	Bad bin	0
bin_78	0.0	100.0	near	1.0
bin_79	0	0.0	Bad bin	0
bin_80	0	0.0	Bad bin	0
bin_81	0.0	47.11538461538461	Bad bin	1.0
bin_82	0	0.0	Bad bin	0
bin_83	0	0.0	Bad bin	0
bin_84	0	0.0	Bad bin	0
bin_85	0.0	7.6923076923076925	Bad bin	1.0
bin_86	0	0.0	Bad bin	0
bin_87	0	0.0	Bad bin	0
bin_88	0	0.0	Bad bin	0
bin_89	0	0.0	Bad bin	0
bin_90	0	0.0	Bad bin	0
bin_91	0	0.0	Bad bin	0
bin_92	0	0.0	Bad bin	0
bin_93	0	0.0	Bad bin	0
bin_94	0	0.0	Bad bin	0
bin_95	0	0.0	Bad bin	0
bin_96	0	0.0	Bad bin	0
bin_97	0	0.0	Bad bin	0
bin_98	0	0.0	Bad bin	0
bin_99	0	0.0	Bad bin	0
bin_100	42.592592592592595	51.92307692307693	Bad bin	0.19602043560096802
bin_101	0	0.0	Bad bin	0
bin_102	0	0.0	Bad bin	0
bin_103	0.0	100.0	near	1.0
bin_104	0	0.0	Bad bin	0
bin_105	0	0.0	Bad bin	0
bin_106	0	0.0	Bad bin	0
bin_107	0	0.0	Bad bin	0
bin_108	44.0	96.15384615384616	Bad bin	0.3041362530413625
bin_109	0	0.0	Bad bin	0
bin_110	0	0.0	Bad bin	0
bin_111	0	0.0	Bad bin	0
bin_112	7.6923076923076925	100.0	Bad bin	0.7222222222222223
bin_113	6.896551724137931	83.65384615384616	substantial	0.7081111422958182
bin_114	0	0.0	Bad bin	0
bin_115	97.11538461538461	100.0	Bad bin	0.17077175697865352
bin_116	0	0.0	Bad bin	0
bin_117	0	0.0	Bad bin	0
bin_118	0	0.0	Bad bin	0
bin_119	0	0.0	Bad bin	0
bin_120	0	0.0	Bad bin	0
bin_121	0	0.0	Bad bin	0
bin_122	0.0	0.9615384615384616	Bad bin	1.0
bin_123	0	0.0	Bad bin	0
bin_124	0	0.0	Bad bin	0
bin_125	0	0.0	Bad bin	0
bin_126	0	0.0	Bad bin	0
bin_127	0	0.0	Bad bin	0
bin_128	0	0.0	Bad bin	0
bin_129	0	0.0	Bad bin	0
bin_130	0	0.0	Bad bin	0
bin_131	0	0.0	Bad bin	0
bin_132	0	0.0	Bad bin	0
bin_133	0	0.0	Bad bin	0
bin_134	0	0.0	Bad bin	0
bin_135	0	0.0	Bad bin	0
bin_136	0	0.0	Bad bin	0
bin_137	0	0.0	Bad bin	0
bin_138	0	0.0	Bad bin	0
bin_139	0	0.0	Bad bin	0
bin_140	0.0	99.03846153846155	near	1.0
bin_141	0	0.0	Bad bin	0
bin_142	0	0.0	Bad bin	0
bin_143	0	0.0	Bad bin	0
bin_144	0	0.0	Bad bin	0
bin_145	0	0.0	Bad bin	0
bin_146	0	0.0	Bad bin	0
bin_147	0	0.0	Bad bin	0
bin_148	0	0.0	Bad bin	0
bin_149	100.0	100.0	Bad bin	0.16666666666666666
bin_150	0	0.0	Bad bin	0
bin_151	0	0.0	Bad bin	0
bin_152	0	0.0	Bad bin	0
bin_153	0	0.0	Bad bin	0
bin_154	0	0.0	Bad bin	0
bin_155	0	0.0	Bad bin	0
bin_156	0	0.0	Bad bin	0
bin_157	0	0.0	Bad bin	0
bin_158	0	0.0	Bad bin	0
bin_159	100.0	100.0	Bad bin	0.16666666666666666
bin_160	0	0.0	Bad bin	0
bin_161	0	0.0	Bad bin	0
bin_162	0	0.0	Bad bin	0
bin_163	0	0.0	Bad bin	0
bin_164	0	0.0	Bad bin	0
bin_165	0	0.0	Bad bin	0
bin_166	0	0.0	Bad bin	0
bin_167	0	0.0	Bad bin	0
bin_168	0.0	100.0	near	1.0
bin_169	0	0.0	Bad bin	0
bin_170	0	0.0	Bad bin	0
bin_171	0	0.0	Bad bin	0
bin_172	0	0.0	Bad bin	0
bin_173	0	0.0	Bad bin	0
bin_174	0	0.0	Bad bin	0
bin_175	0.0	0.9615384615384616	Bad bin	1.0
bin_176	99.03846153846155	100.0	Bad bin	0.16801292407108237
bin_177	0	0.0	Bad bin	0
bin_178	0	0.0	Bad bin	0
bin_179	0	0.0	Bad bin	0
bin_180	0	0.0	Bad bin	0
bin_181	0	0.0	Bad bin	0
bin_182	0.0	99.03846153846155	near	1.0
bin_183	0.0	100.0	near	1.0
bin_184	0	0.0	Bad bin	0
bin_185	0	0.0	Bad bin	0
bin_186	0	0.0	Bad bin	0
bin_187	0	0.0	Bad bin	0
bin_188	0	0.0	Bad bin	0
bin_189	0	0.0	Bad bin	0
bin_190	0	0.0	Bad bin	0
bin_191	0	0.0	Bad bin	0
bin_192	0	0.0	Bad bin	0
bin_193	0	0.0	Bad bin	0
bin_194	0	0.0	Bad bin	0
bin_195	0	0.0	Bad bin	0
bin_196	0	0.0	Bad bin	0
bin_197	0	0.0	Bad bin	0
bin_198	0	0.0	Bad bin	0
bin_199	0	0.0	Bad bin	0
bin_200	0.0	99.03846153846155	near	1.0
bin_201	0	0.0	Bad bin	0
bin_202	0	0.0	Bad bin	0
bin_203	0	0.0	Bad bin	0
bin_204	0	0.0	Bad bin	0
bin_205	0	0.0	Bad bin	0
bin_206	0	0.0	Bad bin	0
bin_207	0	0.0	Bad bin	0
bin_208	0	0.0	Bad bin	0
bin_209	0	0.0	Bad bin	0
bin_210	0	0.0	Bad bin	0
bin_211	0	0.0	Bad bin	0
bin_212	0	0.0	Bad bin	0
bin_213	0	0.0	Bad bin	0
bin_214	0	0.0	Bad bin	0
bin_215	0	0.0	Bad bin	0
bin_216	0	0.0	Bad bin	0
bin_217	0	0.0	Bad bin	0
bin_218	0	0.0	Bad bin	0
bin_219	0.0	0.9615384615384616	Bad bin	1.0
bin_220	0.0	99.03846153846155	near	1.0
bin_221	0	0.0	Bad bin	0
bin_222	0	0.0	Bad bin	0
bin_223	0	0.0	Bad bin	0
bin_224	0	0.0	Bad bin	0
bin_225	0	0.0	Bad bin	0
bin_226	0	0.0	Bad bin	0
bin_227	0	0.0	Bad bin	0
bin_228	0	0.0	Bad bin	0
bin_229	0	0.0	Bad bin	0
bin_230	0	0.0	Bad bin	0
bin_231	0.0	2.8846153846153846	Bad bin	1.0
bin_232	0.0	99.03846153846155	near	1.0
bin_233	0	0.0	Bad bin	0
bin_234	0	0.0	Bad bin	0
bin_235	0	0.0	Bad bin	0
bin_236	0.0	97.11538461538461	near	1.0
bin_237	0.0	5.769230769230769	Bad bin	1.0
bin_238	0	0.0	Bad bin	0
bin_239	0	0.0	Bad bin	0
bin_240	0	0.0	Bad bin	0
bin_241	77.58620689655173	55.769230769230774	Bad bin	0.12569122702137198
bin_242	0	0.0	Bad bin	0
bin_243	0	0.0	Bad bin	0
bin_244	0	0.0	Bad bin	0
bin_245	98.07692307692307	100.0	Bad bin	0.1693811074918567
bin_246	0	0.0	Bad bin	0
bin_247	0	0.0	Bad bin	0
bin_248	0	0.0	Bad bin	0
bin_249	0	0.0	Bad bin	0
bin_250	0	0.0	Bad bin	0
bin_251	0	0.0	Bad bin	0
bin_252	0	0.0	Bad bin	0
bin_253	0	0.0	Bad bin	0
bin_254	0	0.0	Bad bin	0
bin_255	0	0.0	Bad bin	0
bin_256	0	0.0	Bad bin	0
bin_257	0	0.0	Bad bin	0
bin_258	0	0.0	Bad bin	0
bin_259	0	0.0	Bad bin	0
bin_260	0	0.0	Bad bin	0
bin_261	0	0.0	Bad bin	0
bin_262	0	0.0	Bad bin	0
bin_263	0	0.0	Bad bin	0
bin_264	0	0.0	Bad bin	0
bin_265	0	0.0	Bad bin	0
bin_266	0	0.0	Bad bin	0
bin_267	0	0.0	Bad bin	0
bin_268	0	0.0	Bad bin	0
bin_269	0	0.0	Bad bin	0
bin_270	0	0.0	Bad bin	0
bin_271	0	0.0	Bad bin	0
bin_272	0.0	3.8461538461538463	Bad bin	1.0
bin_273	0	0.0	Bad bin	0
bin_274	0	0.0	Bad bin	0
bin_275	0	0.0	Bad bin	0
bin_276	0	0.0	Bad bin	0
bin_277	0	0.0	Bad bin	0
bin_278	0	0.0	Bad bin	0
bin_279	0	0.0	Bad bin	0
bin_280	82.35294117647058	98.07692307692307	Bad bin	0.19236742844464164
bin_281	0	0.0	Bad bin	0
bin_282	0	0.0	Bad bin	0
bin_283	0.0	99.03846153846155	near	1.0
bin_284	0	0.0	Bad bin	0
bin_285	0	0.0	Bad bin	0
bin_286	0	0.0	Bad bin	0
bin_287	0	0.0	Bad bin	0
bin_288	0	0.0	Bad bin	0
bin_289	0	0.0	Bad bin	0
bin_290	0.0	12.5	Bad bin	1.0
bin_291	0.0	1.9230769230769231	Bad bin	1.0
bin_292	0	0.0	Bad bin	0
bin_293	0	0.0	Bad bin	0
bin_294	0	0.0	Bad bin	0
bin_295	0	0.0	Bad bin	0
bin_296	0	0.0	Bad bin	0
bin_297	95.1923076923077	100.0	Bad bin	0.17362270450751252
bin_298	0	0.0	Bad bin	0
bin_299	0	0.0	Bad bin	0
bin_300	0	0.0	Bad bin	0
bin_301	0	0.0	Bad bin	0
bin_302	0	0.0	Bad bin	0
bin_303	0	0.0	Bad bin	0
bin_304	0	0.0	Bad bin	0
bin_305	0	0.0	Bad bin	0
bin_306	0	0.0	Bad bin	0
bin_307	0	0.0	Bad bin	0
bin_308	0	0.0	Bad bin	0
bin_309	0	0.0	Bad bin	0
bin_310	0	0.0	Bad bin	0
bin_311	0	0.0	Bad bin	0
bin_312	0	0.0	Bad bin	0
bin_313	0	0.0	Bad bin	0
bin_314	0	0.0	Bad bin	0
bin_315	0	0.0	Bad bin	0
bin_316	0	0.0	Bad bin	0
bin_317	0	0.0	Bad bin	0
bin_318	0	0.0	Bad bin	0
bin_319	0	0.0	Bad bin	0
bin_320	0	0.0	Bad bin	0
bin_321	0	0.0	Bad bin	0
bin_322	0	0.0	Bad bin	0
bin_323	0	0.0	Bad bin	0
bin_324	0	0.0	Bad bin	0
bin_325	0	0.0	Bad bin	0
bin_326	0	0.0	Bad bin	0
bin_327	0	0.0	Bad bin	0
bin_328	0	0.0	Bad bin	0
bin_329	0	0.0	Bad bin	0
bin_330	0	0.0	Bad bin	0
bin_331	0	0.0	Bad bin	0
bin_332	0	0.0	Bad bin	0
bin_333	0	0.0	Bad bin	0
bin_334	0	0.0	Bad bin	0
bin_335	0	0.0	Bad bin	0
bin_336	0	0.0	Bad bin	0
bin_337	0	0.0	Bad bin	0
bin_338	0	0.0	Bad bin	0
bin_339	0	0.0	Bad bin	0
bin_340	0	0.0	Bad bin	0
bin_341	0	0.0	Bad bin	0
bin_342	0.0	94.23076923076923	near	1.0
bin_343	0	0.0	Bad bin	0
bin_344	0	0.0	Bad bin	0
bin_345	0	0.0	Bad bin	0
bin_346	0	0.0	Bad bin	0
bin_347	0	0.0	Bad bin	0
bin_348	0	0.0	Bad bin	0
bin_349	0	0.0	Bad bin	0
bin_350	0	0.0	Bad bin	0
bin_351	0	0.0	Bad bin	0
bin_352	0	0.0	Bad bin	0
bin_353	0	0.0	Bad bin	0
bin_354	0	0.0	Bad bin	0
bin_355	0	0.0	Bad bin	0
bin_356	0	0.0	Bad bin	0
bin_357	0.0	3.8461538461538463	Bad bin	1.0
bin_358	0	0.0	Bad bin	0
bin_359	0	0.0	Bad bin	0
bin_360	0	0.0	Bad bin	0
bin_361	0	0.0	Bad bin	0
bin_362	0	0.0	Bad bin	0
bin_363	0	0.0	Bad bin	0
bin_364	0	0.0	Bad bin	0
bin_365	0	0.0	Bad bin	0
bin_366	0	0.0	Bad bin	0
bin_367	0	0.0	Bad bin	0
bin_368	0	0.0	Bad bin	0
bin_369	0	0.0	Bad bin	0
bin_370	0	0.0	Bad bin	0
bin_371	0	0.0	Bad bin	0
bin_372	0	0.0	Bad bin	0
bin_373	0	0.0	Bad bin	0
bin_374	0	0.0	Bad bin	0
bin_375	0	0.0	Bad bin	0
bin_376	0.0	99.03846153846155	near	1.0
bin_377	0	0.0	Bad bin	0
bin_378	0	0.0	Bad bin	0
bin_379	0.0	0.9615384615384616	Bad bin	1.0
bin_380	0	0.0	Bad bin	0
bin_381	0	0.0	Bad bin	0
bin_382	0	0.0	Bad bin	0
bin_383	0	0.0	Bad bin	0
bin_384	0	0.0	Bad bin	0
bin_385	0	0.0	Bad bin	0
